Date,Time,    Street_Address ,    City_State ,,
7/1/2014,    00:06     ,    575 LEXINGTON AV            ,     M                       ,,
7/1/2014,    17:30     ,                                ,     LAG                     ,,
7/1/2014,    19:50     ,    375 PARK AV                 ,     M                       ,,
7/1/2014,    20:36     ,    375 PARK AV                 ,     M                       ,,
7/1/2014,    22:37     ,    575 LEXINGTON AV            ,     M                       ,,
7/1/2014,    05:45     ,    150 E 61ST ST               ,     M                       ,,
7/1/2014,    08:49     ,    2 KENNETH COURT             ,    SUMMIT NJ                ,,
7/1/2014,    13:40     ,    304 E 42ND ST               ,     M                       ,,
7/1/2014,    20:09     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    00:33     ,    75 VARICK ST                ,     M                       ,,
7/1/2014,    04:40     ,    42 WHITE ST                 ,     M                       ,,
7/1/2014,    07:18     ,                                ,     JFK                     ,,
7/1/2014,    20:17     ,    65 4th AV                   ,     M                       ,,
7/1/2014,    22:21     ,    66 CHARLTON ST              ,     M                       ,,
7/1/2014,    15:40     ,    525 LEXINGTON AV            ,     M                       ,,
7/1/2014,    19:45     ,    9 W 57TH ST                 ,     M                       ,,
7/1/2014,    12:03     ,    40 MARKET STREET            ,    MORRISTOWN NJ            ,,
7/1/2014,    05:10     ,    126 E 10TH ST               ,     M                       ,,
7/1/2014,    06:00     ,    1381 E NEW YORK AV          ,     BK                      ,,
7/1/2014,    07:05     ,    710 EVERGREEN AV            ,     BK                      ,,
7/1/2014,    21:57     ,    375 PARK AVE                ,     M                       ,,
7/1/2014,    00:30     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    03:55     ,    330 W 39TH ST               ,     M                       ,,
7/1/2014,    07:15     ,    1153 THIRD AV               ,     M                       ,,
7/1/2014,    19:40     ,    767 FIFTH AV                ,     M                       ,,
7/1/2014,    21:00     ,    280 PARK AV                 ,     M                       ,,
7/1/2014,    22:07     ,    261 MADISON AV              ,     M                       ,,
7/1/2014,    20:47     ,    623 FIFTH AV                ,     M                       ,,
7/1/2014,    21:28     ,    100 W 33RD ST               ,     M                       ,,
7/1/2014,    09:00     ,    37 NEW LOTS AV              ,     BK                      ,,
7/1/2014,    09:35     ,    2628 LINDEN BL              ,     BK                      ,,
7/1/2014,    11:40     ,    87 SOMERS ST                ,     BK                      ,,
7/1/2014,    14:15     ,    220 E 22ND ST               ,     M                       ,,
7/1/2014,    16:04     ,    150 E 32ND ST               ,     M                       ,,
7/1/2014,    16:50     ,    9526 91ST ST                ,     QU                      ,,
7/1/2014,    18:10     ,    11000 ROCKAWAY BLVD         ,     QU                      ,,
7/1/2014,    20:11     ,    1 E 57TH ST                 ,     M                       ,,
7/1/2014,    21:16     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    04:30     ,    6636 YELLOWSTONE BL         ,     QU                      ,,
7/1/2014,    05:40     ,    500 LEXINGTON AV            ,     M                       ,,
7/1/2014,    06:25     ,    11621 134TH ST              ,     QU                      ,,
7/1/2014,    07:00     ,    730 LINDEN BL               ,     BK                      ,,
7/1/2014,    08:45     ,    50 WOOSTER ST               ,     M                       ,,
7/1/2014,    10:00     ,    85 JORALEMON ST             ,     BK                      ,,
7/1/2014,    11:35     ,    12 W 27TH ST                ,     M                       ,,
7/1/2014,    14:10     ,    55 WATER ON OLD SLIP        ,     M                       ,,
7/1/2014,    04:14     ,    127 EAST ARGYLE STREET      ,    VALLEY STREAM LI         ,,
7/1/2014,    10:15     ,    260 MADISON AV              ,     M                       ,,
7/1/2014,    15:21     ,    282 ROCKINGSTONE AVE        ,    LARCHMONT WE             ,,
7/1/2014,    04:54     ,    269 ROUNDHILL ROAD          ,    GREENWICH CT             ,,
7/1/2014,    08:25     ,    4841 BROADWAY               ,     M                       ,,
7/1/2014,    09:40     ,    200 THROOP AV               ,     BK                      ,,
7/1/2014,    11:34     ,    17 E 102ND ST               ,     M                       ,,
7/1/2014,    13:49     ,    658 E 233RD ST              ,     BX                      ,,
7/1/2014,    14:15     ,    2545 UNIVERSITY AV          ,     BX                      ,,
7/1/2014,    20:02     ,    335 MADISON ON 43RD ST      ,     M                       ,,
7/1/2014,    15:00     ,    560 FIRST AV                ,     M                       ,,
7/1/2014,    16:15     ,    80 HANSON PL                ,     BK                      ,,
7/1/2014,    19:15     ,    245 FIFTH AV                ,     M                       ,,
7/1/2014,    20:45     ,    9 E 18TH ST                 ,     M                       ,,
7/1/2014,    10:22     ,    61 W 23RD ST                ,     M                       ,,
7/1/2014,    12:30     ,    40 W 57TH ST                ,     M                       ,,
7/1/2014,    14:45     ,    399 PARK AVE                ,     M                       ,,
7/1/2014,    18:55     ,    370 LEXINGTON AVE           ,     M                       ,,
7/1/2014,    05:05     ,    273 PARK AVENUE             ,    LYNDHURST NJ             ,,
7/1/2014,    09:10     ,    1411 BROADWAY               ,     M                       ,,
7/1/2014,    11:40     ,    19 W 50TH ST                ,     M                       ,,
7/1/2014,    14:57     ,     W 54TH ST                  ,     M                       ,,
7/1/2014,    16:06     ,    1200 MORRIS TURNPIKE        ,    SHORT HILLS NJ           ,,
7/1/2014,    20:22     ,    1325 SIXTH ON 53RD ST       ,    M M                      ,,
7/1/2014,    05:15     ,    1460 W 5TH ST               ,     BK                      ,,
7/1/2014,    08:40     ,                                ,     LAG                     ,,
7/1/2014,    09:55     ,    245 PARK AV                 ,     M                       ,,
7/1/2014,    15:10     ,    600 MADISON AV              ,     M                       ,,
7/1/2014,    05:21     ,    344 FORT HILL RD            ,    SCARSDALE WE             ,,
7/1/2014,    08:55     ,                                ,     LAG                     ,,
7/1/2014,    09:40     ,    70 E 115TH ST               ,     M                       ,,
7/1/2014,    11:00     ,    180 W 80TH ST               ,     M                       ,,
7/1/2014,    11:40     ,    722 W 168TH ST              ,    M M                      ,,
7/1/2014,    13:10     ,    870 COLUMBUS AV             ,     M                       ,,
7/1/2014,    14:40     ,    24 W 111TH ST               ,     M                       ,,
7/1/2014,    16:45     ,    37 W 88TH ST                ,     M                       ,,
7/1/2014,    14:00     ,                                ,     JFK                     ,,
7/1/2014,    17:09     ,    220 E 42ND ST               ,     M                       ,,
7/1/2014,    19:35     ,    1114 SIXTH ON 42ND ST       ,    M M                      ,,
7/1/2014,    21:02     ,    230 PARK AV ON 45TH ST      ,     M                       ,,
7/1/2014,    22:33     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    00:15     ,                                ,     NWK                     ,,
7/1/2014,    11:49     ,                                ,     NWK                     ,,
7/1/2014,    14:30     ,    233 ANDERSON HILL RD        ,    PURCHASE WE              ,,
7/1/2014,    15:51     ,    61 W 23RD ST                ,     M                       ,,
7/1/2014,    20:10     ,    411 E 10TH ST               ,     M                       ,,
7/1/2014,    20:58     ,    70 W 36TH ST                ,     M                       ,,
7/1/2014,    21:27     ,    767 5TH AV                  ,    New York M               ,,
7/1/2014,    23:04     ,    75 VARICK ST                ,     M                       ,,
7/1/2014,    20:22     ,    213 W 82ND ST               ,     M                       ,,
7/1/2014,    13:10     ,    927 PRESIDENT ST            ,     BK                      ,,
7/1/2014,    14:29     ,    61 W 23RD ST                ,     M                       ,,
7/1/2014,    15:13     ,    456 FULTON ST               ,     BK                      ,,
7/1/2014,    17:25     ,    18 MIDDLETON ST             ,     BK                      ,,
7/1/2014,    21:40     ,    627 REMSEN AV               ,     BK                      ,,
7/1/2014,    22:26     ,    1368 SAINT JOHNS PL         ,     BK                      ,,
7/1/2014,    23:55     ,    95 GRAND AV                 ,     BK                      ,,
7/1/2014,    16:04     ,    15 W 65TH ST                ,     M                       ,,
7/1/2014,    22:02     ,    767 THIRD AV                ,     M                       ,,
7/1/2014,    22:54     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    12:40     ,                                ,     JFK                     ,,
7/1/2014,    14:00     ,    341 9th AVE                 ,     M                       ,,
7/1/2014,    04:10     ,    40 BOND ST                  ,     M                       ,,
7/1/2014,    05:55     ,    416 E 10TH ST               ,     M                       ,,
7/1/2014,    06:35     ,    2970 W 27TH ST              ,     BK                      ,,
7/1/2014,    07:00     ,    706 AUTUMN AV               ,     BK                      ,,
7/1/2014,    07:10     ,    2180 E 28TH ST              ,     BK                      ,,
7/1/2014,    08:30     ,    86 MOTHER GASTON BL         ,     BK                      ,,
7/1/2014,    09:30     ,    603 HOWARD AV               ,     BK                      ,,
7/1/2014,    21:10     ,    75 VARICK ST                ,     M                       ,,
7/1/2014,    22:25     ,    72 SPRING ST                ,     M                       ,,
7/1/2014,    04:30     ,    311 W 83RD ST               ,     M                       ,,
7/1/2014,    06:40     ,    182 GRAND ST                ,     M                       ,,
7/1/2014,    09:05     ,    8808 SUTTER AV              ,     QU                      ,,
7/1/2014,    09:40     ,    3029 33RD ST                ,     QU                      ,,
7/1/2014,    21:29     ,    220 E 42ND ST               ,     M                       ,,
7/1/2014,    11:55     ,    2701 QUEENS PZ N            ,     QU                      ,,
7/1/2014,    14:30     ,    200 VARICK ST               ,     M                       ,,
7/1/2014,    16:17     ,    1345 SIXTH AV               ,     M                       ,,
7/1/2014,    00:56     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    03:45     ,    200 E 64TH ST               ,     M                       ,,
7/1/2014,    20:10     ,    5802 ROOSEVELT AV           ,     QU                      ,,
7/1/2014,    21:00     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    22:02     ,    1400 BROADWAY               ,     M                       ,,
7/1/2014,    10:10     ,    2364 TIEBOUT AV             ,     BX                      ,,
7/1/2014,    13:15     ,    5120 BROADWAY               ,     M                       ,,
7/1/2014,    19:45     ,    666 FIFTH AV                ,     M                       ,,
7/1/2014,    21:54     ,    35 W 44TH ST                ,     M                       ,,
7/1/2014,    07:50     ,    152 W 66TH ST               ,     M                       ,,
7/1/2014,    09:34     ,    430 W 55TH ST               ,     M                       ,,
7/1/2014,    20:40     ,    1345 SIXTH AV               ,     M                       ,,
7/1/2014,    22:27     ,    9 W 57TH ST                 ,     M                       ,,
7/1/2014,    13:25     ,                                ,     LAG                     ,,
7/1/2014,    20:45     ,    150 E 42ND ST               ,     M                       ,,
7/1/2014,    21:40     ,    1 DAG HAMMARSKJOLD PZ       ,     M                       ,,
7/1/2014,    23:23     ,    245 PARK AVE                ,     M                       ,,
7/1/2014,    10:00     ,    15218 UNION TP              ,     QU                      ,,
7/1/2014,    12:10     ,    13639 37TH AV               ,     QU                      ,,
7/1/2014,    16:45     ,                                ,     LAG                     ,,
7/1/2014,    19:18     ,    185 MADISON AV              ,     M                       ,,
7/1/2014,    21:18     ,    757 3RD AVE                 ,     M                       ,,
7/1/2014,    04:45     ,    4310 CRESCENT ST            ,     QU                      ,,
7/1/2014,    06:45     ,                                ,     LAG                     ,,
7/1/2014,    21:28     ,    767 5TH AV                  ,    New York M               ,,
7/1/2014,    23:10     ,    421 8th AVE                 ,     M                       ,,
7/1/2014,    16:40     ,                                ,     JFK                     ,,
7/1/2014,    18:10     ,    767 5TH AV                  ,    New York M               ,,
7/1/2014,    20:04     ,    622 THIRD AV ON 41ST        ,     M                       ,,
7/1/2014,    00:28     ,                                ,     JFK                     ,,
7/1/2014,    07:10     ,    120 W 44TH ST               ,     M                       ,,
7/1/2014,    10:41     ,    61 W 23RD ST                ,     M                       ,,
7/1/2014,    12:58     ,    135 W 31ST ST               ,     M                       ,,
7/1/2014,    19:26     ,    130 W 42ND ST               ,     M                       ,,
7/1/2014,    20:40     ,    375 PARK AV                 ,     M                       ,,
7/1/2014,    21:47     ,    1345 SIXTH AV               ,     M                       ,,
7/1/2014,    05:00     ,    13305 230TH ST              ,     QU                      ,,
7/1/2014,    09:50     ,    204 5TH AVE                 ,     M                       ,,
7/1/2014,    15:07     ,    80 CENTRE ST                ,     M                       ,,
7/1/2014,    16:24     ,    230 5th AV                  ,     M                       ,,
7/1/2014,    18:35     ,    163 W 18TH ST               ,     M                       ,,
7/1/2014,    20:41     ,    75 VARICK ST                ,     M                       ,,
7/1/2014,    10:42     ,    1221 JEROME AV              ,     BX                      ,,
7/1/2014,    12:40     ,    2 E 181ST ST                ,     BX                      ,,
7/1/2014,    20:48     ,    160 VARICK ST               ,     M                       ,,
7/1/2014,    21:14     ,    375 HUDSON ST               ,     M                       ,,
7/1/2014,    13:43     ,    200 PARK AV ON 45TH ST      ,     M                       ,,
7/1/2014,    15:00     ,    18 E 16TH ST                ,     M                       ,,
7/1/2014,    16:55     ,    19910 28TH AV               ,     QU                      ,,
7/1/2014,    18:27     ,                                ,     NWK                     ,,
7/1/2014,    21:10     ,                                ,     NWK                     ,,
7/1/2014,    23:03     ,                                ,     NWK                     ,,
7/1/2014,    09:54     ,    986 MORRIS AV               ,     BX                      ,,
7/1/2014,    12:40     ,    627 MANIDA ST               ,     BX                      ,,
7/1/2014,    20:02     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    09:05     ,    354 E 91ST ST               ,     M                       ,,
7/1/2014,    14:12     ,    72 PONDFIELD ROAD WEST      ,    BRONXVILLE WE            ,,
7/1/2014,    19:10     ,                                ,     LAG                     ,,
7/1/2014,    21:10     ,    560 FIRST AV                ,     M                       ,,
7/1/2014,    21:55     ,    520 MADISON ON 53RD         ,     M                       ,,
7/1/2014,    11:25     ,    218 W 18TH ST               ,     M                       ,,
7/1/2014,    12:45     ,    436 W 20TH ST               ,     M                       ,,
7/1/2014,    20:26     ,    9 W 57TH ST                 ,     M                       ,,
7/1/2014,    07:50     ,    10549 86TH ST               ,     QU                      ,,
7/1/2014,    17:40     ,    58 W 40TH ST                ,     M                       ,,
7/1/2014,    01:44     ,    520 MADISON ON 53RD ST      ,     M                       ,,
7/1/2014,    13:35     ,    10848 70TH RD               ,     QU                      ,,
7/1/2014,    16:17     ,    14351 ROOSEVELT AV          ,     QU                      ,,
7/1/2014,    18:50     ,    3435 70TH ST                ,     QU                      ,,
7/1/2014,    20:55     ,                                ,     LAG                     ,,
7/1/2014,    23:48     ,    100 W 33RD ST               ,     M                       ,,
7/1/2014,    00:48     ,    200 PARK AV ON 45TH ST      ,     M                       ,,
7/1/2014,    04:06     ,    2 E 57TH ST                 ,     M                       ,,
7/1/2014,    21:50     ,    410 PARK AV                 ,     M                       ,,
7/1/2014,    07:55     ,    110 E 29TH ST               ,     BK                      ,,
7/1/2014,    09:17     ,    728 E NEW YORK AV           ,     BK                      ,,
7/1/2014,    10:00     ,    720 SAINT MARKS AV          ,     BK                      ,,
7/1/2014,    11:45     ,    299 ADELPHI ST              ,     BK                      ,,
7/1/2014,    05:58     ,    125 E BROADWAY              ,    LONG BEACH LI            ,,
7/1/2014,    10:10     ,    215 E 68TH ST               ,     M                       ,,
7/1/2014,    11:58     ,    61 W 23RD ST                ,     M                       ,,
7/1/2014,    15:26     ,    323 E 34TH ST               ,     M                       ,,
7/1/2014,    16:00     ,    290 PARK AV S               ,     M                       ,,
7/1/2014,    19:00     ,    490 SECOND AV               ,     M                       ,,
7/1/2014,    08:05     ,    40 E 88TH ST                ,     M                       ,,
7/1/2014,    11:42     ,    5 E 98TH ST                 ,     M                       ,,
7/1/2014,    13:56     ,    2 E 62ND ST                 ,     M                       ,,
7/1/2014,    18:51     ,    485 LEXINGTON AV            ,     M                       ,,
7/1/2014,    13:27     ,    5 HORIZON WAY               ,    KINGS POINT LI           ,,
7/1/2014,    16:00     ,    290 PARK AV S               ,     M                       ,,
7/1/2014,    23:00     ,                                ,     LAG                     ,,
7/1/2014,    15:00     ,    11439 212TH ST              ,     QU                      ,,
7/1/2014,    19:25     ,                                ,     JFK                     ,,
7/1/2014,    20:43     ,    245 PARK AV ON 46TH ST      ,     M                       ,,
7/1/2014,    22:27     ,    19 E 57TH ST                ,     M                       ,,
7/1/2014,    23:55     ,    2601 OCEAN PKWY             ,     BK                      ,,
7/1/2014,    07:00     ,    669 E 87TH ST               ,     BK                      ,,
7/1/2014,    08:05     ,    12344 146TH ST              ,     QU                      ,,
7/1/2014,    09:40     ,    170 S PORTLAND AV           ,     BK                      ,,
7/1/2014,    13:10     ,    280 BROADWAY                ,     M                       ,,
7/1/2014,    15:15     ,    11521 231ST ST              ,     QU                      ,,
7/1/2014,    17:00     ,    506 6TH ST                  ,     BK                      ,,
7/1/2014,    17:55     ,    16501 CHAPIN PY             ,     QU                      ,,
7/1/2014,    19:40     ,    263 BOWERY                  ,     M                       ,,
7/1/2014,    20:40     ,    1128 SAINT JOHNS PL         ,     BK                      ,,
7/1/2014,    20:40     ,    818 STERLING PL             ,     BK                      ,,
7/1/2014,    05:35     ,    285 EASTERN PY              ,     BK                      ,,
7/1/2014,    08:40     ,    1054 WALTON AV              ,     BX                      ,,
7/1/2014,    14:59     ,    333 PATCHEN AV              ,     BK                      ,,
7/1/2014,    16:50     ,    9420 85TH ST                ,     QU                      ,,
7/1/2014,    17:47     ,    25 ELM PL                   ,     BK                      ,,
7/1/2014,    19:03     ,    370 BAY RIDGE PY            ,     BK                      ,,
7/1/2014,    14:55     ,                                ,     JFK                     ,,
7/1/2014,    18:10     ,    888 SEVENTH AV              ,     M                       ,,
7/1/2014,    21:04     ,    375 PARK AV                 ,     M                       ,,
7/1/2014,    21:39     ,    220 E 42ND ST               ,     M                       ,,
7/1/2014,    22:06     ,    1345 SIXTH AV               ,     M                       ,,
7/1/2014,    23:23     ,    9 W 57TH ST                 ,     M                       ,,
7/1/2014,    08:00     ,    9715 HORACE HARDING EY      ,     QU                      ,,
7/1/2014,    08:55     ,    5017 42ND ST                ,     QU                      ,,
7/1/2014,    11:40     ,    245 PARK AV                 ,     M                       ,,
7/1/2014,    21:42     ,    99 PARK AV                  ,     M                       ,,
7/1/2014,    23:01     ,    2 E 55TH ST                 ,     M                       ,,
7/1/2014,    18:45     ,                                ,     NWK                     ,,
7/1/2014,    20:45     ,    1345 SIXTH AV               ,     M                       ,,
7/1/2014,    22:11     ,    375 PARK AVE                ,     M                       ,,
7/1/2014,    07:40     ,    9941 63RD DR                ,     QU                      ,,
7/1/2014,    14:10     ,    1 W 39TH ST                 ,     M                       ,,
7/1/2014,    15:22     ,    10715 71ST AV               ,     QU                      ,,
7/1/2014,    17:55     ,    3220 NORTHERN BL            ,     QU                      ,,
7/1/2014,    20:22     ,    767 FIFTH AV                ,     M                       ,,
7/1/2014,    09:10     ,    165 SAINT ANNS AV           ,     BX                      ,,
7/1/2014,    10:06     ,    2451 EASTCHESTER RD         ,     BX                      ,,
7/1/2014,    10:10     ,    1641 METROPOLITAN AV        ,     BX                      ,,
7/1/2014,    13:10     ,    1569 METROPOLITAN AV        ,     BX                      ,,
7/1/2014,    07:45     ,    10 GRACIE SQ                ,     M                       ,,
7/1/2014,    08:10     ,    11 PIER                     ,     M                       ,,
7/1/2014,    12:10     ,    520 MADISON AV              ,     M                       ,,
7/1/2014,    14:43     ,    225 BRAE BLVD               ,    PARK RIDGE NJ            ,,
7/1/2014,    18:40     ,    77 PARK AV                  ,     M                       ,,
7/1/2014,    09:55     ,    21 W 52ND ST                ,     M                       ,,
7/1/2014,    13:15     ,    111 E 210TH ST              ,     BX                      ,,
7/1/2014,    14:25     ,    66 W 38TH ST                ,     M                       ,,
7/1/2014,    16:40     ,    601 LEXINGTON AV            ,     M                       ,,
7/1/2014,    06:10     ,    1364 ALBANY AV              ,     BK                      ,,
7/1/2014,    07:35     ,    646 UNION ST                ,     BK                      ,,
7/1/2014,    07:50     ,    1296 DEAN ST                ,     BK                      ,,
7/1/2014,    08:55     ,    1 CHESTER CT                ,     BK                      ,,
7/1/2014,    10:02     ,    591 KINGSTON AV             ,     BK                      ,,
7/1/2014,    10:50     ,    1530 PENNSYLVANIA AV        ,     BK                      ,,
7/1/2014,    14:54     ,    1824 SHORE PY               ,     BK                      ,,
7/1/2014,    14:40     ,    1014 AVENUE N               ,     BK                      ,,
7/1/2014,    16:40     ,    184 CLARKSON AV             ,     BK                      ,,
7/1/2014,    18:00     ,    15 METROTECH CN             ,     BK                      ,,
7/1/2014,    19:13     ,    721 SCHENECTADY AV          ,     BK                      ,,
7/1/2014,    21:26     ,    730 FIFTH AV                ,     M                       ,,
7/1/2014,    02:35     ,    200 PARK AV ON 45TH ST      ,     M                       ,,
7/1/2014,    04:09     ,    2 E 57TH ST                 ,     M                       ,,
7/1/2014,    23:23     ,    11 E 35TH ST                ,     M                       ,,
7/1/2014,    16:25     ,                                ,     LAG                     ,,
7/1/2014,    19:30     ,    1016 SECOND AV              ,     M                       ,,
7/1/2014,    23:41     ,    757 3RD AVE                 ,     M                       ,,
7/1/2014,    05:51     ,    2 WINDING LANE              ,    SCARSDALE WE             ,,
7/1/2014,    09:10     ,    751 WALTON AV               ,     BX                      ,,
7/1/2014,    10:45     ,    1894 WALTON AV              ,     BX                      ,,
7/1/2014,    12:40     ,    1867 BELMONT AV             ,     BX                      ,,
7/1/2014,    13:55     ,    4377 BRONX BL               ,     BX                      ,,
7/1/2014,    15:05     ,    1221 JEROME AV              ,     BX                      ,,
7/1/2014,    19:35     ,    9 W 57TH ST                 ,     M                       ,,
7/1/2014,    04:56     ,    53 PARKVIEW CIRCLE S        ,    BETHPAGE LI              ,,
7/1/2014,    13:15     ,                                ,     JFK                     ,,
7/1/2014,    15:34     ,    487 HUDSON ST               ,     M                       ,,
7/1/2014,    04:25     ,    147 DUANE ST                ,     M                       ,,
7/1/2014,    07:25     ,    225 RECTOR PL               ,     M                       ,,
7/1/2014,    08:45     ,    408 EIGHTH AV               ,     M                       ,,
7/1/2014,    20:25     ,    75 VARICK ST                ,     M                       ,,
7/1/2014,    21:38     ,    375 HUDSON ST               ,     M                       ,,
7/1/2014,    22:46     ,    330 W BROADWAY              ,     M                       ,,
7/1/2014,    12:48     ,                                ,     NWK                     ,,
7/1/2014,    14:40     ,    4 TIMES SQ ON 42 ST         ,     M                       ,,
7/1/2014,    19:45     ,    25 W 32ND ST                ,     M                       ,,
7/1/2014,    07:05     ,    98 PARK TE E                ,     M                       ,,
7/1/2014,    10:45     ,    200 LEXINGTON AV            ,     M                       ,,
7/1/2014,    15:53     ,    475 E 72ND ST               ,     M                       ,,
7/1/2014,    09:00     ,    311 GREENWICH ST            ,     M                       ,,
